Start, End, Price, Hours, Minutes
2024-03-02, 2024-03-03, 384, 8, 14
2024-03-02, 2024-03-04, 217, 8, 13
2024-03-02, 2024-03-05, 195, 8, 13
2024-03-02, 2024-03-06, 195, 8, 13
2024-03-02, 2024-03-07, 280, 8, 14
2024-03-02, 2024-03-08, 384, 8, 14
2024-03-02, 2024-03-09, 384, 8, 14
2024-03-02, 2024-03-10, 434, 8, 14
2024-03-03, 2024-03-04, 384, 7, 52
2024-03-03, 2024-03-05, 363, 7, 52
2024-03-03, 2024-03-06, 363, 7, 52
2024-03-03, 2024-03-07, 448, 7, 52
2024-03-03, 2024-03-08, 532, 7, 52
2024-03-03, 2024-03-09, 532, 7, 52
2024-03-03, 2024-03-10, 582, 7, 52
2024-03-04, 2024-03-05, 215, 9, 05
2024-03-04, 2024-03-06, 215, 9, 05
2024-03-04, 2024-03-07, 300, 9, 05
2024-03-04, 2024-03-08, 384, 9, 05
2024-03-04, 2024-03-09, 384, 9, 05
2024-03-04, 2024-03-10, 434, 9, 05
2024-03-05, 2024-03-06, 195, 9, 05
2024-03-05, 2024-03-07, 280, 9, 05
2024-03-05, 2024-03-08, 364, 8, 18
2024-03-05, 2024-03-09, 364, 8, 18
2024-03-05, 2024-03-10, 414, 8, 18
2024-03-06, 2024-03-07, 320, 7, 56
2024-03-06, 2024-03-08, 404, 8, 23
2024-03-06, 2024-03-09, 404, 8, 23
2024-03-06, 2024-03-10, 454, 8, 23
2024-03-07, 2024-03-08, 449, 9, 17
2024-03-07, 2024-03-09, 449, 9, 17
2024-03-07, 2024-03-10, 499, 9, 17
2024-03-08, 2024-03-09, 533, 8, 30
2024-03-08, 2024-03-10, 583, 8, 30
2024-03-09, 2024-03-10, 583, 8, 30


